a,b,c,d,e,f,g,h
68,1,0.109,0.671,16.525,154.000,108.000,0.588
69,1,0.108,0.671,16.526,154.000,108.000,0.588
70,1,0.108,0.671,16.527,154.000,108.000,0.588
71,1,0.108,0.671,16.528,154.000,108.000,0.588
72,1,0.108,0.671,16.528,154.000,108.000,0.588
73,1,0.108,0.671,16.529,154.000,108.000,0.588
74,1,0.108,0.671,16.530,154.000,108.000,0.588
75,1,0.108,0.671,16.530,154.000,108.000,0.588
76,1,0.108,0.671,18.970,154.000,108.000,0.588
77,1,0.108,0.671,18.971,154.000,108.000,0.588
78,1,0.108,0.671,18.972,154.000,108.000,0.588
79,1,0.108,0.671,18.972,154.000,108.000,0.588
80,1,0.108,0.671,18.973,154.000,108.000,0.588
81,1,0.108,0.671,19.570,154.000,108.000,0.588
82,1,0.108,0.671,19.571,154.000,108.000,0.588
83,1,0.108,0.671,19.571,154.000,108.000,0.588
84,1,0.108,0.671,19.572,154.000,108.000,0.588
85,1,0.108,0.671,19.573,154.000,108.000,0.588
86,1,0.108,0.671,19.573,154.000,108.000,0.588
87,1,0.108,0.671,19.574,154.000,108.000,0.588
88,1,0.108,0.671,19.575,154.000,108.000,0.588
89,1,0.108,0.671,19.575,154.000,108.000,0.588
90,1,0.108,0.671,19.576,154.000,108.000,0.588
91,1,0.108,0.671,19.577,154.000,108.000,0.588
92,1,0.108,0.671,19.577,154.000,108.000,0.588
93,1,0.108,0.671,19.578,154.000,108.000,0.588
94,1,0.108,0.671,20.501,154.000,108.000,0.588
95,1,0.108,0.671,20.502,154.000,108.000,0.588
96,1,0.108,0.671,20.502,154.000,108.000,0.588
97,1,0.108,0.671,20.503,154.000,108.000,0.588
98,1,0.108,0.671,20.504,154.000,108.000,0.588
99,1,0.108,0.671,20.504,154.000,108.000,0.588
100,1,0.108,0.671,20.505,154.000,108.000,0.588
1,5,0.179,0.460,0.065,133.000,129.000,0.508
2,5,0.176,0.462,0.068,136.000,126.000,0.519
3,5,0.172,0.464,0.071,136.000,126.000,0.519
4,5,0.169,0.477,0.074,134.000,128.000,0.511
5,5,0.164,0.483,0.077,134.000,128.000,0.511
6,5,0.161,0.485,0.080,136.000,126.000,0.519
7,5,0.158,0.491,0.083,137.000,125.000,0.523
8,5,0.155,0.493,0.086,140.000,122.000,0.534
9,5,0.152,0.493,0.089,140.000,122.000,0.534
10,5,0.150,0.493,0.092,140.000,122.000,0.534
11,5,0.148,0.493,0.095,140.000,122.000,0.534
12,5,0.146,0.493,0.558,140.000,122.000,0.534
13,5,0.144,0.493,1.059,140.000,122.000,0.534
14,5,0.142,0.493,1.061,140.000,122.000,0.534
15,5,0.141,0.493,1.064,140.000,122.000,0.534
16,5,0.139,0.495,1.067,140.000,122.000,0.534
17,5,0.138,0.499,1.069,140.000,122.000,0.534
18,5,0.137,0.501,2.069,140.000,122.000,0.534
19,5,0.135,0.503,2.072,141.000,121.000,0.538
