a,b,c,d,e,f,g,h,i,j,k
77,2,55.048,0.667,1.137,162.000,100.000,0.618,500,150,100
78,2,55.048,0.667,1.137,162.000,100.000,0.618,500,150,100
79,2,55.048,0.667,1.138,162.000,100.000,0.618,500,150,100
80,2,55.048,0.667,1.138,162.000,100.000,0.618,500,150,100
81,2,55.048,0.667,1.138,162.000,100.000,0.618,500,150,100
82,2,55.048,0.667,1.139,162.000,100.000,0.618,500,150,100
83,2,54.607,0.667,1.139,162.000,100.000,0.618,500,150,100
84,2,54.607,0.667,1.139,162.000,100.000,0.618,500,150,100
85,2,54.532,0.667,1.140,162.000,100.000,0.618,500,150,100
86,2,54.532,0.667,1.140,162.000,100.000,0.618,500,150,100
87,2,54.298,0.667,1.140,162.000,100.000,0.618,500,150,100
88,2,54.298,0.667,1.141,162.000,100.000,0.618,500,150,100
89,2,54.298,0.667,1.141,162.000,100.000,0.618,500,150,100
90,2,54.296,0.667,1.141,162.000,100.000,0.618,500,150,100
91,2,54.296,0.667,1.142,162.000,100.000,0.618,500,150,100
92,2,54.296,0.667,1.269,162.000,100.000,0.618,500,150,100
93,2,54.296,0.667,1.270,162.000,100.000,0.618,500,150,100
94,2,54.295,0.667,1.270,162.000,100.000,0.618,500,150,100
95,2,54.295,0.667,1.271,162.000,100.000,0.618,500,150,100
96,2,54.295,0.667,1.271,162.000,100.000,0.618,500,150,100
97,2,54.295,0.667,1.271,162.000,100.000,0.618,500,150,100
98,2,54.295,0.667,1.272,162.000,100.000,0.618,500,150,100
99,2,54.271,0.667,1.272,162.000,100.000,0.618,500,150,100
100,2,54.271,0.667,1.272,162.000,100.000,0.618,500,150,100
1,3,81.136,0.333,0.003,100.000,162.000,0.382,100,25,10
2,3,80.760,0.333,0.004,100.000,162.000,0.382,100,25,10
3,3,80.760,0.333,0.027,100.000,162.000,0.382,100,25,10
4,3,80.760,0.333,0.028,100.000,162.000,0.382,100,25,10
5,3,80.528,0.333,0.277,100.000,162.000,0.382,100,25,10
6,3,80.528,0.333,0.278,100.000,162.000,0.382,100,25,10
7,3,80.528,0.333,0.382,100.000,162.000,0.382,100,25,10
8,3,80.528,0.333,0.526,100.000,162.000,0.382,100,25,10
9,3,80.528,0.333,0.803,100.000,162.000,0.382,100,25,10
