a,b,c,d,e
710,231.0,113.993527794,100.0,50.0
720,229.0,115.387814002,100.0,50.0
730,230.0,116.761516428,100.0,50.0
740,230.0,118.196952432,100.0,50.0
750,233.0,119.642889649,100.0,50.0
760,233.0,121.00106755,100.0,50.0
770,233.0,122.455809622,100.0,50.0
780,230.0,123.862597509,100.0,50.0
790,234.0,125.324088692,100.0,50.0
800,232.0,126.889638684,100.0,50.0
810,230.0,128.694996681,100.0,50.0
820,233.0,130.229390153,100.0,50.0
830,232.0,131.730205666,100.0,50.0
840,232.0,133.203186085,100.0,50.0
850,230.0,134.711777772,100.0,50.0
860,234.0,136.245454672,100.0,50.0
870,232.0,137.962305301,100.0,50.0
880,230.0,139.69435258,100.0,50.0
890,230.0,141.172359982,100.0,50.0
900,233.0,142.582210584,100.0,50.0
910,232.0,144.118043359,100.0,50.0
920,230.0,145.598416593,100.0,50.0
930,232.0,146.998258609,100.0,50.0
940,232.0,148.373930003,100.0,50.0
950,231.0,149.776137943,100.0,50.0
960,232.0,151.047560611,100.0,50.0
970,230.0,152.080326548,100.0,50.0
