iterations,fitness,time,samples,tokeep
710,3729.2715885789457,17.506860198,180,90
720,3729.2715885789457,17.703753457,180,90
730,3741.0871354544443,17.877544937,180,90
740,3741.0871354544443,18.044252013,180,90
750,3741.0871354544443,18.189625091,180,90
760,3741.0871354544443,18.385614513,180,90
770,3741.0871354544443,18.394272024,180,90
780,3741.0871354544443,18.506523717,180,90
790,3741.0871354544443,18.688416313,180,90
800,3741.0871354544443,18.819120655,180,90
810,3741.0871354544443,18.82589298,180,90
820,3741.0871354544443,18.979029674,180,90
830,3741.0871354544443,19.103250769,180,90
840,3738.2809747996653,19.223294192,180,90
850,3729.2715885789457,19.414124229,180,90
860,3729.2715885789457,19.47642907,180,90
870,3729.2715885789457,19.484774596,180,90
880,3729.2715885789457,19.550046948,180,90
890,3729.2715885789457,19.751264216,180,90
900,3729.2715885789457,19.837260349,180,90
910,3729.2715885789457,19.982161273,180,90
920,3729.2715885789457,19.989862889,180,90
930,3729.2715885789457,20.058718801,180,90
940,3729.2715885789457,20.17800738,180,90
950,3729.2715885789457,20.28518931,180,90
960,3729.2715885789457,20.34047599,180,90
970,3729.2715885789457,20.414997432,180,90
980,3729.2715885789457,20.420938706,180,90
990,3729.2715885789457,20.536296534,180,90
1000,3729.2715885789457,20.610701371,180,90
10,3066.349885525031,0.6133698,180,90
20,3125.451501331925,0.634202793,180,90
30,3355.6750585372415,0.925523045,180,90
40,3434.944382134939,1.599959056,180,90
50,3402.491162717543,1.681564725,180,90
60,3475.5358191233563,1.824236601,180,90
70,3478.2907972338107,1.834202776,180,90
80,3574.5769860530536,3.533667073,180,90
90,3576.533140414983,3.684892999,180,90
100,3686.5201167521363,3.992124903,180,90
110,3660.182781423458,4.28288999,180,90
120,3647.489827666836,4.62607292,180,90
130,3743.244406212244,5.226780727,180,90
140,3749.6593671846485,5.602744742,180,90
150,3798.699436517027,5.925084672,180,90
160,3765.9377378211175,6.307823142,180,90
170,3823.0314043424437,6.601323578,180,90
180,3820.506305153212,6.90384116,180,90
190,3801.056122458902,7.235171049,180,90
200,3818.419562279576,7.562184783,180,90
210,3819.0748949003405,7.847186884,180,90
220,3831.1623273637333,8.081213349,180,90
230,3825.934255738728,8.484674442,180,90
240,3819.0748949003405,8.927667018,180,90
250,3819.8317397597025,9.234532909,180,90
260,3845.675226608334,9.241288177,180,90
270,3819.0748949003405,9.524028412,180,90
280,3819.0748949003405,9.765944178,180,90
290,3819.0748949003405,9.999156554,180,90
300,3819.0748949003405,10.273279517,180,90
310,3819.0748949003405,10.527646875,180,90
320,3819.0748949003405,10.771554648,180,90
330,3819.0748949003405,11.002774448,180,90
340,3819.0748949003405,11.271347876,180,90
350,3819.0748949003405,11.28443362,180,90
360,3819.0748949003405,11.498023307,180,90
370,3819.0748949003405,11.510186017,180,90
380,3819.0748949003405,11.858146778,180,90
390,3819.0748949003405,12.08798084,180,90
400,3819.0748949003405,12.388422976,180,90
410,3819.0748949003405,12.622631447,180,90
420,3819.0748949003405,12.846977838,180,90
430,3819.0748949003405,13.065982169,180,90
440,3819.0748949003405,13.289380255,180,90
450,3819.0748949003405,13.56558656,180,90
460,3819.0748949003405,13.75731045,180,90
470,3819.0748949003405,13.769163319,180,90
480,3819.0748949003405,14.095867926,180,90
490,3819.0748949003405,14.105152996,180,90
500,3819.0748949003405,14.344632518,180,90
510,3819.0748949003405,14.586273664,180,90
520,3819.0748949003405,14.900930619,180,90
530,3819.0748949003405,15.129512365,180,90
540,3819.0748949003405,15.298543348,180,90
550,3819.0748949003405,15.533672336,180,90
560,3819.0748949003405,15.630393383,180,90
570,3819.0748949003405,15.987758186,180,90
580,3819.0748949003405,16.158993959,180,90
590,3819.0748949003405,16.350947974,180,90
600,3819.0748949003405,16.653104783,180,90
610,3819.0748949003405,16.724052419,180,90
620,3819.0748949003405,16.860034315,180,90
630,3819.0748949003405,16.868311533,180,90
640,3819.0748949003405,17.095789199,180,90
650,3819.0748949003405,17.320843494,180,90
660,3819.0748949003405,17.474116266,180,90
670,3819.0748949003405,17.637760986,180,90
680,3819.0748949003405,17.809680461,180,90
690,3819.0748949003405,17.993836129,180,90
700,3819.0748949003405,18.001572079,180,90
710,3819.0748949003405,18.191957995,180,90
720,3819.0748949003405,18.322940344,180,90
730,3819.0748949003405,18.51502475,180,90
740,3819.0748949003405,18.523036027,180,90
750,3819.0748949003405,18.737293252,180,90
760,3819.0748949003405,18.851395062,180,90
770,3819.0748949003405,18.992596472,180,90
780,3819.0748949003405,19.179092338,180,90
790,3819.0748949003405,19.290703904,180,90
800,3819.0748949003405,19.403333363,180,90
810,3819.0748949003405,19.412511312,180,90
820,3819.0748949003405,19.529260194,180,90
830,3819.0748949003405,19.704838327,180,90
840,3819.0748949003405,19.795582575,180,90
850,3819.0748949003405,19.93364818,180,90
860,3819.0748949003405,19.944470732,180,90
870,3819.0748949003405,20.003302238,180,90
880,3819.0748949003405,20.157187737,180,90
890,3819.0748949003405,20.26562115,180,90
900,3819.0748949003405,20.299844062,180,90
910,3819.0748949003405,20.450996094,180,90
920,3819.0748949003405,20.459791874,180,90
930,3819.0748949003405,20.548681879,180,90
940,3819.0748949003405,20.637976839,180,90
950,3827.3789396227867,20.702401963,180,90
960,3819.0748949003405,20.710038749,180,90
970,3819.0748949003405,20.82817503,180,90
980,3819.0748949003405,20.888958054,180,90
990,3819.0748949003405,20.89717472,180,90
1000,3819.0748949003405,20.967074679,180,90
10,3102.075151923475,0.679287061,180,90
20,3315.8009145560763,0.764125298,180,90
30,3257.231969781948,0.86955131,180,90
40,3358.649797600887,1.557463565,180,90
50,3530.601642825423,1.629359335,180,90
60,3518.062686497583,1.640444051,180,90
70,3551.536437700279,2.159694065,180,90
80,3601.816807336176,2.404358617,180,90
90,3590.53246106742,2.887372073,180,90
100,3656.9221092216317,3.557457398,180,90
110,3638.853231117449,3.844155401,180,90
120,3647.0059664349933,4.189498741,180,90
130,3703.3908274099317,4.487811732,180,90
140,3646.212866109398,4.791772599,180,90
150,3724.417026804126,5.085815622,180,90
160,3716.3410344933345,5.407604951,180,90
170,3665.835909128491,5.749277187,180,90
180,3711.9615613735155,6.199456161,180,90
190,3724.7444080534056,6.814753522,180,90
200,3770.669668078742,7.073089413,180,90
210,3757.004366899797,7.438808885,180,90
220,3746.8992528177314,7.708993656,180,90
230,3759.1430687265283,8.367815513,180,90
240,3780.4730551709217,8.693629068,180,90
250,3777.5818266418623,8.957548716,180,90
260,3807.688031546694,9.309120964,180,90
270,3797.946197634796,9.317082042,180,90
280,3807.688031546694,9.512265548,180,90
290,3807.688031546694,9.812858353,180,90
300,3807.688031546694,10.045838565,180,90
310,3807.688031546694,10.098365135,180,90
320,3799.9215667010935,10.413315348,180,90
330,3807.0641002537645,10.735191419,180,90
340,3799.9215667010935,10.959588366,180,90
350,3799.9215667010935,10.968341679,180,90
360,3799.9215667010935,11.252263355,180,90
370,3799.9215667010935,11.461894504,180,90
380,3799.9215667010935,11.741332337,180,90
390,3799.9215667010935,11.943411923,180,90
400,3799.9215667010935,12.187361936,180,90
410,3799.9215667010935,12.493630034,180,90
420,3799.9215667010935,12.702050642,180,90
430,3786.616130125808,12.943054133,180,90
440,3786.616130125808,13.117891682,180,90
450,3786.616130125808,13.126169208,180,90
460,3786.616130125808,13.443959062,180,90
470,3786.616130125808,13.600622013,180,90
480,3786.616130125808,13.830536745,180,90
490,3786.616130125808,14.042601329,180,90
500,3786.616130125808,14.287862604,180,90
510,3786.616130125808,14.556897355,180,90
520,3786.616130125808,14.753865414,180,90
530,3786.616130125808,14.953595536,180,90
540,3786.616130125808,15.160440851,180,90
550,3786.616130125808,15.418585135,180,90
560,3786.616130125808,15.652869523,180,90
570,3786.616130125808,15.834044853,180,90
580,3786.616130125808,16.039886743,180,90
590,3786.616130125808,16.202746824,180,90
600,3786.616130125808,16.211047487,180,90
610,3786.616130125808,16.423617078,180,90
620,3786.616130125808,16.611083213,180,90
630,3786.616130125808,16.932614662,180,90
640,3786.616130125808,17.104756188,180,90
650,3786.616130125808,17.312221369,180,90
660,3786.616130125808,17.34358752,180,90
670,3786.616130125808,17.559363214,180,90
680,3786.616130125808,17.745419236,180,90
690,3786.616130125808,17.924661786,180,90
700,3786.616130125808,18.1503078,180,90
710,3786.616130125808,18.158791144,180,90
720,3786.616130125808,18.259016035,180,90
730,3786.616130125808,18.443588957,180,90
740,3786.616130125808,18.604970205,180,90
750,3786.616130125808,18.622423076,180,90
760,3786.616130125808,18.631128701,180,90
770,3786.616130125808,18.790220287,180,90
780,3786.616130125808,18.983315063,180,90
790,3786.616130125808,19.157735754,180,90
800,3786.616130125808,19.254434831,180,90
810,3786.616130125808,19.346431026,180,90
820,3786.616130125808,19.482223253,180,90
830,3786.616130125808,19.489949606,180,90
840,3786.616130125808,19.697466673,180,90
850,3786.616130125808,19.765441583,180,90
860,3786.616130125808,19.86495973,180,90
870,3786.616130125808,20.024030645,180,90
880,3786.616130125808,20.143095935,180,90
890,3786.616130125808,20.153782797,180,90
900,3786.616130125808,20.267473154,180,90
910,3786.616130125808,20.372403885,180,90
920,3786.616130125808,20.469440236,180,90
930,3786.616130125808,20.580000019,180,90
940,3786.616130125808,20.632720086,180,90
950,3786.616130125808,20.647760553,180,90
960,3786.616130125808,20.726777903,180,90
970,3786.616130125808,20.837505766,180,90
980,3786.616130125808,20.907618579,180,90
990,3786.616130125808,20.966205886,180,90
1000,3786.616130125808,20.973632844,180,90
10,3130.2760484505593,0.922715145,200,100
20,3239.036854980116,1.599440421,200,100
30,3256.617163516631,1.690061757,200,100
40,3254.5172993777187,2.405441097,200,100
50,3409.870903645136,2.630799775,200,100
60,3377.560716207809,3.088062086,200,100
70,3524.3426583525243,3.322822666,200,100
80,3450.0580883812577,3.690280965,200,100
90,3522.119875898931,3.706899792,200,100
100,3510.621023737479,3.727620565,200,100
110,3622.8023269847313,4.380584362,200,100
120,3627.4112229189427,4.670832933,200,100
130,3656.412217105048,4.952117834,200,100
140,3689.33714478401,5.290748857,200,100
150,3681.9020177824013,5.934311536,200,100
160,3721.2033030909943,6.293340841,200,100
170,3716.8160395002506,6.553033854,200,100
180,3715.849568845473,6.979351011,200,100
190,3746.462624325478,7.282125295,200,100
200,3750.1241767706956,7.831892015,200,100
210,3773.0260895500655,8.198542263,200,100
220,3774.803211216927,8.473230733,200,100
230,3782.3010298201475,8.843935005,200,100
240,3780.3067242408083,9.166439024,200,100
250,3776.561431176472,9.555469951,200,100
260,3790.4803418238234,10.08256007,200,100
270,3804.993241068424,10.334874305,200,100
280,3790.1761202658463,10.344584267,200,100
290,3776.520062748236,10.852193138,200,100
300,3790.1761202658463,10.859488103,200,100
310,3773.0260895500655,11.145804888,200,100
320,3773.0260895500655,11.392542453,200,100
330,3773.0260895500655,11.684718947,200,100
340,3773.0260895500655,11.906254483,200,100
350,3773.0260895500655,12.152541913,200,100
360,3776.520062748236,12.363756589,200,100
370,3776.520062748236,12.372053567,200,100
380,3776.520062748236,12.380957464,200,100
390,3776.520062748236,12.744073753,200,100
400,3776.520062748236,12.976462963,200,100
410,3773.0260895500655,13.276418295,200,100
420,3773.0260895500655,13.503842089,200,100
430,3773.0260895500655,13.720100945,200,100
440,3773.0260895500655,13.965727583,200,100
450,3773.0260895500655,13.972418996,200,100
460,3773.0260895500655,14.238300493,200,100
470,3773.0260895500655,14.463474768,200,100
480,3773.0260895500655,14.666895067,200,100
490,3773.0260895500655,14.868135299,200,100
500,3773.0260895500655,15.037779048,200,100
510,3773.0260895500655,15.262839555,200,100
520,3773.0260895500655,15.511679465,200,100
530,3773.0260895500655,15.724706808,200,100
540,3773.0260895500655,15.73341893,200,100
550,3773.0260895500655,15.955899415,200,100
560,3771.0245177899465,16.1830979,200,100
570,3771.0245177899465,16.375832925,200,100
580,3771.0245177899465,16.874838841,200,100
590,3771.0245177899465,16.983912002,200,100
600,3771.0245177899465,17.14737548,200,100
610,3771.0245177899465,17.366872076,200,100
620,3771.0245177899465,17.497734775,200,100
630,3771.0245177899465,17.786089048,200,100
640,3771.0245177899465,17.952738497,200,100
650,3771.0245177899465,18.145687731,200,100
660,3771.0245177899465,18.330343591,200,100
670,3771.0245177899465,18.474706789,200,100
680,3771.0245177899465,18.486699151,200,100
690,3771.0245177899465,18.759669508,200,100
700,3771.0245177899465,18.809896799,200,100
710,3771.0245177899465,18.957527558,200,100
720,3771.0245177899465,19.113332979,200,100
730,3771.0245177899465,19.120559724,200,100
740,3751.4690101747,19.419760661,200,100
