a,b,c,d,e
500,240.0,89.151357012,100.0,50.0
510,240.0,90.591901077,100.0,50.0
520,239.0,92.106825165,100.0,50.0
530,240.0,93.631082439,100.0,50.0
540,240.0,95.137922432,100.0,50.0
550,241.0,96.882491743,100.0,50.0
560,240.0,98.390514569,100.0,50.0
570,240.0,99.970747692,100.0,50.0
580,239.0,101.611765105,100.0,50.0
590,239.0,103.254581373,100.0,50.0
600,240.0,104.683155608,100.0,50.0
610,240.0,106.261804173,100.0,50.0
620,240.0,107.872981958,100.0,50.0
630,240.0,109.416160073,100.0,50.0
640,240.0,110.978972331,100.0,50.0
650,239.0,112.47219569,100.0,50.0
660,240.0,113.970747047,100.0,50.0
670,240.0,115.652583037,100.0,50.0
680,240.0,117.223991522,100.0,50.0
690,240.0,118.752381477,100.0,50.0
700,239.0,120.360511607,100.0,50.0
710,240.0,121.803274735,100.0,50.0
720,240.0,123.370721528,100.0,50.0
730,239.0,124.624847287,100.0,50.0
740,240.0,126.322986573,100.0,50.0
750,240.0,127.898338837,100.0,50.0
760,240.0,129.204510292,100.0,50.0
770,240.0,130.873801186,100.0,50.0
780,240.0,132.615518597,100.0,50.0
790,240.0,134.266562083,100.0,50.0
800,239.0,135.825323255,100.0,50.0
810,239.0,137.643108873,100.0,50.0
820,240.0,139.253540956,100.0,50.0
830,239.0,140.8511869,100.0,50.0
840,240.0,142.352897444,100.0,50.0
850,240.0,143.906695007,100.0,50.0
860,240.0,145.321619292,100.0,50.0
870,239.0,146.933237399,100.0,50.0
880,239.0,148.70259037,100.0,50.0
890,239.0,150.433730111,100.0,50.0
900,240.0,152.293671031,100.0,50.0
910,240.0,153.800036379,100.0,50.0
920,240.0,155.590016575,100.0,50.0
930,240.0,157.130673842,100.0,50.0
940,240.0,158.951686376,100.0,50.0
950,240.0,160.547293476,100.0,50.0
960,241.0,162.184900263,100.0,50.0
970,240.0,163.839215142,100.0,50.0
980,240.0,165.583973159,100.0,50.0
990,240.0,166.745291653,100.0,50.0
1000,240.0,167.945644612,100.0,50.0
10,229.0,7.908220807,100.0,50.0
20,228.0,11.580865523,100.0,50.0
30,235.0,14.009163334,100.0,50.0
40,236.0,16.119738067,100.0,50.0
50,236.0,17.99141505,100.0,50.0
60,237.0,19.703553287,100.0,50.0
70,236.0,21.450806191,100.0,50.0
80,238.0,23.242317024,100.0,50.0
90,237.0,25.133379439,100.0,50.0
100,238.0,26.482813012,100.0,50.0
110,237.0,28.14436253,100.0,50.0
120,236.0,29.694978444,100.0,50.0
130,236.0,31.205719418,100.0,50.0
140,237.0,32.713102946,100.0,50.0
150,236.0,34.28544153,100.0,50.0
160,238.0,35.814742208,100.0,50.0
170,237.0,37.295294293,100.0,50.0
180,238.0,38.85837134,100.0,50.0
190,240.0,40.414916677,100.0,50.0
200,236.0,42.112999768,100.0,50.0
210,236.0,43.660307897,100.0,50.0
220,236.0,45.161399397,100.0,50.0
230,236.0,46.660012532,100.0,50.0
240,237.0,48.401523964,100.0,50.0
250,239.0,50.048320105,100.0,50.0
260,239.0,51.753776905,100.0,50.0
270,239.0,53.380621525,100.0,50.0
280,240.0,55.259083769,100.0,50.0
290,236.0,57.064846274,100.0,50.0
300,236.0,58.568386342,100.0,50.0
310,236.0,60.084642273,100.0,50.0
320,239.0,61.745964309,100.0,50.0
330,238.0,63.591936439,100.0,50.0
340,237.0,65.346475123,100.0,50.0
350,237.0,66.913455611,100.0,50.0
360,238.0,68.371920347,100.0,50.0
370,239.0,69.958090396,100.0,50.0
380,237.0,71.684721637,100.0,50.0
390,238.0,73.205702016,100.0,50.0
400,237.0,74.632671092,100.0,50.0
410,237.0,76.160131572,100.0,50.0
420,237.0,77.768006931,100.0,50.0
430,237.0,79.263084481,100.0,50.0
440,239.0,80.736269677,100.0,50.0
450,238.0,82.443238174,100.0,50.0
460,240.0,84.077422588,100.0,50.0
470,238.0,85.742010813,100.0,50.0
480,238.0,87.449708076,100.0,50.0
490,239.0,88.938393399,100.0,50.0
500,238.0,90.498497498,100.0,50.0
510,240.0,91.985058761,100.0,50.0
520,238.0,93.424134903,100.0,50.0
530,239.0,95.069018052,100.0,50.0
540,240.0,96.772754388,100.0,50.0
550,238.0,98.379778338,100.0,50.0
560,238.0,99.970662131,100.0,50.0
570,238.0,101.508151227,100.0,50.0
580,240.0,103.024888756,100.0,50.0
590,238.0,104.415508679,100.0,50.0
600,238.0,105.913266645,100.0,50.0
610,241.0,107.411371405,100.0,50.0
620,238.0,108.796615697,100.0,50.0
630,240.0,110.415886992,100.0,50.0
640,238.0,112.1156705,100.0,50.0
650,238.0,113.691463481,100.0,50.0
660,242.0,115.414494493,100.0,50.0
670,240.0,116.994316616,100.0,50.0
680,238.0,118.668322859,100.0,50.0
690,238.0,120.184921447,100.0,50.0
700,238.0,121.760223896,100.0,50.0
710,238.0,123.272579945,100.0,50.0
720,241.0,124.868997542,100.0,50.0
730,241.0,126.59745182,100.0,50.0
740,240.0,128.261768725,100.0,50.0
750,238.0,129.686636517,100.0,50.0
760,241.0,131.196925527,100.0,50.0
770,238.0,132.968763558,100.0,50.0
780,238.0,134.388952633,100.0,50.0
790,241.0,136.00603548,100.0,50.0
800,239.0,137.346100865,100.0,50.0
810,238.0,139.172214504,100.0,50.0
820,240.0,140.676498456,100.0,50.0
830,241.0,142.407969691,100.0,50.0
840,241.0,143.937933115,100.0,50.0
850,241.0,145.658087837,100.0,50.0
860,240.0,147.179812017,100.0,50.0
870,238.0,148.589022466,100.0,50.0
880,238.0,150.176356789,100.0,50.0
890,238.0,151.844119806,100.0,50.0
900,238.0,153.395987025,100.0,50.0
910,239.0,155.025454533,100.0,50.0
920,238.0,156.510332581,100.0,50.0
930,239.0,158.365062919,100.0,50.0
940,241.0,159.798795065,100.0,50.0
950,239.0,161.371697379,100.0,50.0
960,237.0,163.016871367,100.0,50.0
970,239.0,164.474837026,100.0,50.0
980,238.0,165.977093034,100.0,50.0
990,238.0,167.174295999,100.0,50.0
1000,238.0,167.969766993,100.0,50.0
10,221.0,8.296221252,100.0,50.0
20,223.0,12.000232047,100.0,50.0
30,229.0,14.827345083,100.0,50.0
40,234.0,16.948844799,100.0,50.0
50,39.0,18.630356124,100.0,50.0
60,40.0,20.590367617,100.0,50.0
70,40.0,22.71449392,100.0,50.0
80,41.0,24.623044495,100.0,50.0
90,41.0,26.302670349,100.0,50.0
100,40.0,27.611033449,100.0,50.0
110,41.0,29.180491448,100.0,50.0
120,42.0,30.963835844,100.0,50.0
130,41.0,32.452521508,100.0,50.0
140,41.0,33.981634351,100.0,50.0
150,40.0,35.423246009,100.0,50.0
160,40.0,37.0285939,100.0,50.0
170,40.0,38.506654274,100.0,50.0
180,40.0,39.825493838,100.0,50.0
190,41.0,41.428539365,100.0,50.0
200,41.0,43.016525659,100.0,50.0
210,40.0,44.75648962,100.0,50.0
220,40.0,46.339848085,100.0,50.0
230,41.0,47.904533691,100.0,50.0
240,40.0,49.458310757,100.0,50.0
250,40.0,51.202575135,100.0,50.0
260,40.0,52.852078578,100.0,50.0
270,40.0,54.516814774,100.0,50.0
280,40.0,56.391773996,100.0,50.0
290,43.0,57.966101677,100.0,50.0
300,41.0,59.523819061,100.0,50.0
310,40.0,60.99046987,100.0,50.0
320,40.0,62.81173555,100.0,50.0
330,40.0,64.396779492,100.0,50.0
340,40.0,66.094717556,100.0,50.0
350,41.0,67.69059993,100.0,50.0
360,41.0,69.471068233,100.0,50.0
370,42.0,70.956897854,100.0,50.0
380,42.0,72.609802034,100.0,50.0
390,41.0,74.095110765,100.0,50.0
400,41.0,75.72628724,100.0,50.0
410,43.0,77.323850785,100.0,50.0
420,41.0,78.949250223,100.0,50.0
430,41.0,80.436298809,100.0,50.0
440,41.0,81.716011649,100.0,50.0
450,42.0,83.338555023,100.0,50.0
460,41.0,84.966844146,100.0,50.0
470,41.0,86.503763579,100.0,50.0
480,42.0,87.974043037,100.0,50.0
490,41.0,89.543017441,100.0,50.0
500,41.0,91.092036659,100.0,50.0
510,43.0,93.000721861,100.0,50.0
520,43.0,94.579742664,100.0,50.0
530,41.0,96.076829038,100.0,50.0
540,42.0,97.77044782,100.0,50.0
550,41.0,99.283646117,100.0,50.0
560,41.0,100.927328908,100.0,50.0
570,41.0,102.652652496,100.0,50.0
580,42.0,104.307848863,100.0,50.0
590,43.0,105.963555968,100.0,50.0
600,41.0,107.394960705,100.0,50.0
610,41.0,108.742676653,100.0,50.0
620,41.0,110.211976753,100.0,50.0
630,41.0,111.743412507,100.0,50.0
640,44.0,113.442551854,100.0,50.0
650,42.0,114.820513324,100.0,50.0
660,41.0,116.028620483,100.0,50.0
670,43.0,117.628916197,100.0,50.0
680,41.0,119.108153372,100.0,50.0
690,41.0,120.674927702,100.0,50.0
700,241.0,122.144944885,100.0,50.0
710,42.0,123.951471377,100.0,50.0
720,41.0,125.781981098,100.0,50.0
730,41.0,127.458501349,100.0,50.0
740,41.0,129.31437516,100.0,50.0
750,42.0,131.011600688,100.0,50.0
760,43.0,132.531143154,100.0,50.0
770,41.0,133.864668271,100.0,50.0
780,42.0,135.248104049,100.0,50.0
790,41.0,136.791645728,100.0,50.0
800,41.0,138.306424108,100.0,50.0
810,42.0,139.735985382,100.0,50.0
820,42.0,141.321709833,100.0,50.0
830,43.0,143.106819789,100.0,50.0
840,42.0,144.682288201,100.0,50.0
850,42.0,146.340851366,100.0,50.0
860,42.0,148.028087443,100.0,50.0
870,43.0,149.809467148,100.0,50.0
880,232.0,151.54404812,100.0,50.0
890,41.0,153.177812399,100.0,50.0
900,41.0,154.739358123,100.0,50.0
910,41.0,156.321525855,100.0,50.0
920,42.0,157.58081262,100.0,50.0
930,41.0,159.288208918,100.0,50.0
940,42.0,160.826356446,100.0,50.0
950,41.0,162.229867655,100.0,50.0
960,41.0,163.772559896,100.0,50.0
970,42.0,165.281352462,100.0,50.0
